City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,Eyemouth,GB,2022-06-01 17:58:19,55.8713,-2.0901,62.82,72,74,4.18
220,Cayenne,GF,2022-06-01 17:58:20,4.9333,-52.3333,86.04,1,40,9.22
221,Chokurdakh,RU,2022-06-01 17:58:20,70.6333,147.9167,36.75,92,100,11.41
222,Daru,PG,2022-06-01 17:58:21,-9.0763,143.2092,78.6,84,47,11.68
223,Yellowknife,CA,2022-06-01 17:58:21,62.456,-114.3525,61.32,39,20,8.05
224,Cairns,AU,2022-06-01 17:58:05,-16.9167,145.7667,69.06,96,75,8.05
225,Voiron,FR,2022-06-01 17:58:22,45.3639,5.5921,74.62,68,80,2.44
226,Bartlesville,US,2022-06-01 17:54:58,36.7473,-95.9808,77.11,76,98,1.99
227,Shingu,JP,2022-06-01 17:58:23,33.7333,135.9833,59.41,55,99,5.79
228,Chuy,UY,2022-06-01 17:59:23,-33.6971,-53.4616,53.11,49,100,6.46
229,Pisco,PE,2022-06-01 17:55:00,-13.7,-76.2167,69.03,77,16,8.05
230,Lerwick,GB,2022-06-01 17:59:24,60.1545,-1.1494,50.0,76,51,16.26
231,Domoni,KM,2022-06-01 17:59:24,-12.2569,44.5319,77.38,70,40,13.73
232,Huilong,CN,2022-06-01 17:59:24,31.8111,121.655,73.92,88,100,6.29
233,Hasaki,JP,2022-06-01 17:59:25,35.7333,140.8333,61.29,77,100,7.07
234,Port Elizabeth,ZA,2022-06-01 17:59:25,-33.918,25.5701,61.09,81,0,13.8
235,Sitka,US,2022-06-01 17:59:26,57.0531,-135.33,63.36,57,100,3.18
236,Alofi,NU,2022-06-01 17:59:26,-19.0595,-169.9187,75.09,88,16,10.36
237,Port-Cartier,CA,2022-06-01 17:59:27,50.0334,-66.8654,66.42,44,3,1.25
238,Ust-Nera,RU,2022-06-01 17:59:27,64.5667,143.2,50.85,79,100,5.95
239,Mildura,AU,2022-06-01 17:59:27,-34.2,142.15,44.08,89,100,2.91
240,Vestmannaeyjar,IS,2022-06-01 17:59:28,63.4427,-20.2734,52.79,87,20,11.5
241,Los Andes,CL,2022-06-01 17:59:28,-32.8337,-70.5983,55.0,54,67,0.85
242,Sao Filipe,CV,2022-06-01 17:59:29,14.8961,-24.4956,77.81,68,77,12.15
243,Bambanglipuro,ID,2022-06-01 17:59:29,-7.95,110.2833,74.77,92,79,2.84
244,Viedma,AR,2022-06-01 17:59:29,-40.8135,-62.9967,48.92,68,84,7.76
245,Aswan,EG,2022-06-01 17:59:30,24.0934,32.907,103.3,8,0,5.75
246,Sri Aman,MY,2022-06-01 17:59:30,1.2376,111.4621,77.09,94,100,1.14
247,Koumac,NC,2022-06-01 17:59:31,-20.5667,164.2833,74.7,85,82,7.49
248,Cabinda,AO,2022-06-01 17:59:31,-5.55,12.2,78.94,78,75,5.75
249,Priupskiy,RU,2022-06-01 17:59:32,53.9096,37.736,57.54,94,95,9.04
250,Atar,MR,2022-06-01 17:59:32,20.5169,-13.0499,106.68,11,17,14.27
251,Hamilton,US,2022-06-01 17:59:32,39.1834,-84.5333,89.51,57,84,3.0
252,Lakatoro,VU,2022-06-01 17:59:33,-16.0999,167.4164,79.21,83,50,6.76
253,Oussouye,SN,2022-06-01 17:59:33,12.485,-16.5469,95.18,50,0,11.59
254,Kavieng,PG,2022-06-01 17:59:34,-2.5744,150.7967,79.65,70,41,2.75
255,Kikuchi,JP,2022-06-01 17:59:34,32.9833,130.8167,64.94,92,98,1.57
256,Havre,FR,2022-06-01 17:59:35,49.5833,0.3333,64.35,67,0,11.5
257,Los Llanos De Aridane,ES,2022-06-01 17:59:35,28.6585,-17.9182,67.75,84,40,11.5
258,Kidal,ML,2022-06-01 17:59:35,18.4411,1.4078,103.5,6,86,8.03
259,Eydhafushi,MV,2022-06-01 17:59:36,5.1033,73.0708,82.89,77,93,18.63
260,Kahului,US,2022-06-01 17:59:36,20.8947,-156.47,76.84,88,3,4.0
261,Ancud,CL,2022-06-01 17:55:40,-41.8697,-73.8203,47.23,66,27,2.86
262,Suoyarvi,RU,2022-06-01 17:59:37,62.0833,32.35,56.26,63,47,2.73
263,Vao,NC,2022-06-01 17:59:37,-22.6667,167.4833,75.27,84,87,15.39
264,Kaitangata,NZ,2022-06-01 17:59:37,-46.2817,169.8464,49.5,83,86,5.06
265,San Juan,AR,2022-06-01 17:55:08,-31.5375,-68.5364,54.3,33,7,9.91
266,Husavik,IS,2022-06-01 17:59:38,66.0449,-17.3389,46.35,92,90,3.65
267,Charlestown,AU,2022-06-01 17:59:38,-32.95,151.6667,47.82,75,5,4.0
268,Fukue,JP,2022-06-01 17:59:39,32.6881,128.8419,68.0,80,86,8.43
269,Banjar,ID,2022-06-01 17:59:39,-8.19,114.9675,77.79,85,92,2.17
270,Namatanai,PG,2022-06-01 17:59:40,-3.6667,152.4333,77.31,78,23,2.17
271,Artigas,UY,2022-06-01 17:59:40,-30.4,-56.4667,54.37,52,60,11.07
272,Lumberton,US,2022-06-01 17:58:24,34.6182,-79.0086,96.04,33,0,3.2
273,Naron,ES,2022-06-01 17:59:41,43.5167,-8.1528,72.91,84,86,4.97
274,Pacific Grove,US,2022-06-01 17:59:41,36.6177,-121.9166,73.81,85,3,14.0
275,Guerrero Negro,MX,2022-06-01 18:00:42,27.9769,-114.0611,69.17,58,36,13.96
276,Torbay,CA,2022-06-01 17:57:22,47.6666,-52.7314,42.76,96,100,10.36
277,Portland,US,2022-06-01 17:57:44,45.5234,-122.6762,70.61,68,100,5.99
278,Saint-Hyacinthe,CA,2022-06-01 17:58:15,45.6168,-72.9491,65.61,70,100,3.13
279,Abu Dhabi,AE,2022-06-01 17:59:12,24.4667,54.3667,93.31,60,0,3.44
280,Sobolevo,RU,2022-06-01 18:00:44,54.4299,31.8996,60.01,92,33,7.11
281,Kalachinsk,RU,2022-06-01 18:00:44,55.0529,74.5751,50.22,67,61,11.39
282,Kudahuvadhoo,MV,2022-06-01 18:00:45,2.6708,72.8944,83.55,74,98,15.64
283,Olafsvik,IS,2022-06-01 18:00:45,64.8945,-23.7142,50.27,83,98,5.17
284,Tokat,TR,2022-06-01 18:00:46,40.4167,36.5833,53.33,93,0,5.88
285,Krasnyy Oktyabr,RU,2022-06-01 18:00:46,56.1167,38.8833,60.55,97,83,6.35
286,Fort Nelson,CA,2022-06-01 17:57:21,58.8053,-122.7002,63.99,42,20,2.3
287,Fortuna,US,2022-06-01 18:00:47,40.5982,-124.1573,61.93,84,100,4.61
288,Colborne,CA,2022-06-01 18:00:47,44.0001,-77.8828,68.58,97,100,2.77
289,Lazaro Cardenas,MX,2022-06-01 17:56:34,17.9583,-102.2,84.4,59,75,10.38
290,Kolokani,ML,2022-06-01 18:00:48,13.5728,-8.0339,102.7,16,20,9.8
291,Erenhot,CN,2022-06-01 18:00:49,43.6475,111.9767,70.3,18,3,8.43
292,Vostok,RU,2022-06-01 18:00:49,46.4856,135.8833,42.76,94,74,4.34
293,Redmond,US,2022-06-01 17:57:31,47.674,-122.1215,70.34,69,100,5.01
294,Kalabo,ZM,2022-06-01 18:00:50,-14.97,22.6814,61.68,45,14,6.55
