City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Kommunisticheskiy,RU,61.6789,64.4819,39.43,50,9,5.61,clear sky
314,Yaan,NG,7.3833,8.5667,79.29,77,93,6.11,light rain
315,Snezhnogorsk,RU,69.1933,33.2531,53.38,86,100,7.7,overcast clouds
316,Moorhead,US,46.8739,-96.7676,73.42,20,0,3.44,clear sky
317,Lucea,JM,18.451,-78.1736,93.06,61,97,18.75,overcast clouds
318,Kununurra,AU,-15.7667,128.7333,73.38,88,56,0.0,broken clouds
319,Itaituba,BR,-4.2761,-55.9836,89.76,62,40,4.61,scattered clouds
320,Horn Lake,US,34.9554,-90.0348,86.04,35,40,0.0,scattered clouds
321,Shieli,KZ,44.1667,66.75,77.14,19,52,8.21,broken clouds
322,Labuan,MY,5.2767,115.2417,79.16,94,20,0.0,few clouds
323,Westport,US,41.1415,-73.3579,84.15,56,0,4.61,clear sky
324,Ambilobe,MG,-13.2,49.05,69.94,75,21,4.36,few clouds
325,North Bend,US,43.4065,-124.2243,61.92,99,100,4.61,overcast clouds
326,Avera,US,33.194,-82.5271,83.55,43,80,11.14,broken clouds
327,Punta Umbria,ES,37.1821,-6.9661,69.24,57,0,16.2,clear sky
328,Krasnoselkup,RU,65.7,82.4667,37.98,79,13,7.45,few clouds
329,Narsaq,GL,60.9167,-46.05,66.42,33,2,5.93,clear sky
330,Dodoma,TZ,-6.1722,35.7395,65.88,56,62,10.58,broken clouds
331,Hearst,CA,49.6835,-83.6665,57.45,45,91,8.61,overcast clouds
332,Tual,ID,-5.6667,132.75,82.62,75,100,6.85,overcast clouds
333,Satinka,RU,52.3792,41.6819,57.42,80,0,7.58,clear sky
334,Alanya,TR,36.5438,31.9998,75.33,74,8,2.82,clear sky
335,Naze,JP,28.3667,129.4833,72.52,94,100,14.43,light rain
336,Novobirilyussy,RU,56.9514,90.6661,37.04,74,52,3.29,broken clouds
337,Thompson,CA,55.7435,-97.8558,44.76,76,100,5.75,overcast clouds
338,Bakonycsernye,HU,47.324,18.0751,81.52,71,5,0.98,clear sky
339,Hamilton,US,39.1834,-84.5333,83.5,37,0,4.61,clear sky
340,Lodja,CD,-3.4833,23.4333,76.24,56,91,2.91,overcast clouds
341,Kondinskoye,RU,59.6481,67.41,42.28,76,36,6.15,scattered clouds
342,Husavik,IS,66.0449,-17.3389,44.02,67,15,4.29,few clouds
343,Lourdes,FR,43.1,-0.05,65.68,88,75,5.75,mist
344,Bac Lieu,VN,9.285,105.7244,79.54,81,77,2.91,broken clouds
345,Bjornevatn,NO,69.6672,29.9847,53.94,94,0,1.14,clear sky
