City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
445,Luanda,AO,75.2,few clouds,-8.8368,13.2343,EPIC SANA Luanda
447,Minbu,MM,84.47,scattered clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
448,Bandarbeyla,SO,80.46,scattered clouds,9.4942,50.8122,JABIR HOTEL
449,Axim,GH,80.29,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
454,Bandundu,CD,79.72,broken clouds,-3.3167,17.3667,Coja Color
457,Feijo,BR,77.49,overcast clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
459,Selaphum,TH,86.09,overcast clouds,16.0299,103.9383,ศิวิไลซ์โปรเจคท์
464,Yanam,IN,83.71,overcast clouds,16.7333,82.2167,The Regency Hotel
467,Upata,VE,86.2,broken clouds,8.0086,-62.3989,Posada Villa Nela
468,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
470,Ascona,CH,81.52,overcast clouds,46.1545,8.7733,Hotel Eden Roc
472,Buala,SB,80.29,light rain,-8.145,159.5921,Maringe Lagoon Lodge
473,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
474,Houma,US,88.0,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
476,Dong Hoi,VN,82.69,overcast clouds,17.4833,106.6,Nam Long Hotel
479,Yarada,IN,88.12,mist,17.65,83.2667,Yarada Jungle Beach Resorts
480,Bhatkal,IN,82.04,scattered clouds,13.9667,74.5667,Nilawar Palace
481,Alandi,IN,82.54,overcast clouds,18.6667,73.9,Goli vadapav
483,Buritis,BR,88.79,clear sky,-15.6178,-46.4233,Hotel Rainha do Vale
487,Lorengau,PG,79.99,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
488,Saraikela,IN,89.87,overcast clouds,22.7167,85.95,Dinesh Chai Hotel
491,Trinidad,BO,78.78,overcast clouds,-14.8333,-64.9,Hotel Piesta
496,Arica,CL,76.55,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
497,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
503,Sarankhola,BD,81.64,overcast clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
504,San Policarpo,PH,79.83,moderate rain,12.1791,125.5072,Agapita M. Nicart
507,Sussex,US,83.07,clear sky,41.1834,-74.6663,Top O Hill Farm - McDougals
508,Puerto Cabezas,NI,87.76,scattered clouds,14.0351,-83.3888,Cabaña Caribe
512,Cartagena Del Chaira,CO,86.47,light rain,1.3349,-74.8429,HOTEL LA ROCA
513,Kilindoni,TZ,78.24,moderate rain,-7.9139,39.6668,Bustani B&B
519,Disa,IN,85.41,broken clouds,24.25,72.1667,Hotel hinglaj
523,Springdale,US,81.57,clear sky,36.1867,-94.1288,Springdale Inn
525,Brentwood,US,80.98,few clouds,40.7812,-73.2462,"Holiday Inn Express Hauppauge-Long Island, an IHG Hotel"
527,Ewa Beach,US,80.55,clear sky,21.3156,-158.0072,Base Lodging
538,Hurghada,EG,85.35,broken clouds,27.2574,33.8129,Sea Star Beau Rivage Hotel
539,Praya,CV,84.74,clear sky,14.9215,-23.5087,LT Aparthotel
547,Samarai,PG,81.19,light rain,-10.6167,150.6667,Nuli Sapi
550,Odweyne,SO,78.73,overcast clouds,9.4092,45.064,Eng Hiirey House
555,North Platte,US,83.12,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
556,Padang,ID,75.25,light rain,-0.9492,100.3543,Mercure Padang
563,Rayachoti,IN,84.09,overcast clouds,14.05,78.75,Swetha lodge
565,Sola,VU,77.67,scattered clouds,-13.8833,167.55,Leumerus Bungalows
566,Stephenville,US,84.33,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
569,Lansdale,US,84.43,clear sky,40.2415,-75.2838,Homewood Suites by Hilton Lansdale
570,Kupang,ID,76.95,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
573,Winthrop,US,82.62,few clouds,42.3751,-70.9828,Courtyard by Marriott Boston Logan Airport
576,Palmas De Monte Alto,BR,84.83,clear sky,-14.2672,-43.1619,RAVENA AUTO POSTO LTDA
579,Paragominas,BR,78.84,overcast clouds,-2.9667,-47.4833,INOVA
583,Mandvi,IN,81.88,clear sky,22.8333,69.3667,Jitendra Guest House
584,Puri,IN,77.52,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
585,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
586,Hobyo,SO,78.06,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
587,Balikpapan,ID,76.19,scattered clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
594,Belmonte,BR,75.04,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
599,Kuching,MY,77.22,scattered clouds,1.55,110.3333,Hilton Kuching
601,Doka,SD,85.6,scattered clouds,13.5167,35.7667,Um Rakuba Refugee Camp
602,Warwick,US,80.73,few clouds,41.7001,-71.4162,Hampton Inn & Suites Providence/Warwick-Airport
603,Gandajika,CD,75.42,scattered clouds,-6.75,23.95,Hôtel Memorial
605,Wanning,CN,80.58,overcast clouds,18.8003,110.3967,Paradise Hotel
610,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
614,Ratnagiri,IN,82.56,scattered clouds,16.9833,73.3,Hotel Landmark
617,Martapura,ID,75.29,broken clouds,-3.4167,114.85,Montana Hotel Syariah
619,Kudahuvadhoo,MV,83.59,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
620,Kissidougou,GN,77.92,few clouds,9.1848,-10.0999,Hôtel Mantis
621,Port-Gentil,GA,76.96,broken clouds,-0.7193,8.7815,Fengshui Residence
623,Monrovia,LR,79.81,light rain,6.3005,-10.7969,Sunset Inn
624,Candolim,IN,84.2,scattered clouds,15.5181,73.7626,Resort Terra Paraiso
626,Mineral Wells,US,85.21,clear sky,32.8085,-98.1128,The Baker Hotel and Spa
630,Eyl,SO,79.05,broken clouds,7.9803,49.8164,Amiin Hotel
632,Sassandra,CI,77.54,overcast clouds,4.95,-6.0833,la terrasse
637,Labuhan,ID,78.01,light rain,-6.8844,112.2051,DoubleFAG
638,Carauari,BR,80.55,overcast clouds,-4.8828,-66.8958,Hotel Fellip
640,Jharia,IN,88.07,overcast clouds,23.75,86.4,sri krishna sweets
642,Torit,SS,76.35,clear sky,4.4133,32.5678,Diplomat Guest House
657,Camocim,BR,81.18,heavy intensity rain,-2.9022,-40.8411,Ilha Praia Hotel
668,Matara,LK,77.27,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
671,Jiwani,PK,84.42,clear sky,25.05,61.7417,Hamza hotel jiwani
672,Ruma,RS,80.42,clear sky,45.0081,19.8222,"""Park"""
678,Kieta,PG,79.54,light rain,-6.2167,155.6333,Uruna Bay Retreat
684,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
685,Cururupu,BR,79.21,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
686,Grand-Santi,GF,82.87,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
689,Lushnje,AL,75.94,clear sky,40.9419,19.705,HOTEL KRESKO
691,Williamsport,US,81.52,clear sky,41.2412,-77.0011,Hampton Inn Williamsport-Downtown
693,Najran,SA,84.85,few clouds,17.4924,44.1277,محمد هادي ال فطيح
694,Meulaboh,ID,75.7,overcast clouds,4.1363,96.1285,Kost Pria
697,Ughelli,NG,75.49,moderate rain,5.4899,6.0074,Prestige Hotel
699,Luwuk,ID,76.87,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
705,Cartagena,CO,85.62,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
708,Opatija,HR,77.68,broken clouds,45.3392,14.3083,Hotel Opatija
